sample_id,theta_delta_rad,omega_rad_s,alpha_rad_s2
pmks_positive_0000,0,0,-0.64543089303417556
pmks_positive_0001,-3.93142621892828E-05,-0.0071235273313953306,-0.64531294579741305
pmks_positive_0002,-0.00015724268056827029,-0.014244451323327223,-0.64495919983340777
pmks_positive_0003,-0.00035374216223704735,-0.02136017074904294,-0.64436994213820198
pmks_positive_0004,-0.00062874092453713004,-0.028468088601856137,-0.64354565023027044
pmks_positive_0005,-0.00098213855321693799,-0.035565614191813776,-0.64248699094199735
pmks_positive_0006,-0.0014138060836499378,-0.042650165226393637,-0.64119481873544026
pmks_positive_0007,-0.0019235861049127223,-0.049719169870020022,-0.63967017355001876
pmks_positive_0008,-0.0025112928864481354,-0.056770068777284133,-0.63791427819185154
pmks_positive_0009,-0.0031767125270070196,-0.063800317094872688,-0.63592853527649418
pmks_positive_0010,-0.0039196031254884467,-0.070807386427350114,-0.63371452373876314
pmks_positive_0011,-0.0047396949732569915,-0.077788766762097811,-0.63127399492518887
pmks_positive_0012,-0.0056366907674605393,-0.084741968348900312,-0.62860886828637641
pmks_positive_0013,-0.006610265844823271,-0.091664523529863401,-0.62572122668818775
pmks_positive_0014,-0.0076600684353445025,-0.098553988515569735,-0.62261331136215459
pmks_positive_0015,-0.0087857199352847637,-0.10540794510360671,-0.61928751651689706
pmks_positive_0016,-0.0099868151987894116,-0.11222400233585307,-0.61574638363355971
pmks_positive_0017,-0.011262922847447232,-0.11899979809116776,-0.61199259546934226
pmks_positive_0018,-0.012613585597060162,-0.12573300061039552,-0.60802896979413745
pmks_positive_0019,-0.014038320600856746,-0.13242130995088658,-0.60385845288605822
pmks_positive_0020,-0.015536619808361074,-0.13906245936801348,-0.59948411281225134
pmks_positive_0021,-0.017107950339094291,-0.14565421662146263,-0.5949091325218574
pmks_positive_0022,-0.018751754870276027,-0.15219438520437747,-0.59013680277826652
pmks_positive_0023,-0.020467452037649547,-0.1586808054937304,-0.58517051495799066
pmks_positive_0024,-0.022254436848573977,-0.16511135582060052,-0.58001375374343955
pmks_positive_0025,-0.024112081106475003,-0.17148395345933867,-0.57467008973676936
pmks_positive_0026,-0.026039733845765856,-0.17779655553489368,-0.56914317202166076
pmks_positive_0027,-0.028036721776327322,-0.18404715984787612,-0.56343672069946604
pmks_positive_0028,-0.030102349736643497,-0.19023380561721456,-0.55755451942562029
pmks_positive_0029,-0.032235901154675783,-0.19635457414055263,-0.55150040797152955
pmks_positive_0030,-0.034436638515574547,-0.20240758937279968,-0.54527827483637747
pmks_positive_0031,-0.036703803835332227,-0.2083910184235182,-0.53889204993240503
pmks_positive_0032,-0.039036619139478201,-0.21430307197408602,-0.53234569736624693
pmks_positive_0033,-0.041434286945939647,-0.22014200461580988,-0.52564320833785727
pmks_positive_0034,-0.043895990751210423,-0.22590611511040556,-0.51878859417742273
pmks_positive_0035,-0.046420895518969107,-0.23159374657447296,-0.51178587953948707
pmks_positive_0036,-0.049008148170321508,-0.23720328658980172,-0.50463909577226396
pmks_positive_0037,-0.051656878074865187,-0.2427331672415349,-0.49735227447884756
pmks_positive_0038,-0.054366197541782402,-0.24818186508639428,-0.48992944128571014
pmks_positive_0039,-0.057135202310209632,-0.25354790105333508,-0.48237460983256308
pmks_positive_0040,-0.059962972038149598,-0.25882984027914513,-0.47469177599630874
pmks_positive_0041,-0.062848570789219238,-0.26402629188163373,-0.46688491236046875
pmks_positive_0042,-0.065791047516565726,-0.26913590867317999,-0.45895796294014962
pmks_positive_0043,-0.068789436543302163,-0.27415738681750806,-0.45091483817126843
pmks_positive_0044,-0.071842758038857202,-0.2790894654326494,-0.44275941017148313
pmks_positive_0045,-0.074950018490655967,-0.28393092614312471,-0.43449550827898004
pmks_positive_0046,-0.078110211170597577,-0.28868059258444329,-0.42612691487405446
pmks_positive_0047,-0.081322316595809685,-0.29333732986306055,-0.41765736148720739
pmks_positive_0048,-0.084585302983213762,-0.29790004397497244,-0.40909052519634487
pmks_positive_0049,-0.087898126697459222,-0.30236768118614554,-0.40043002531455413
pmks_positive_0050,-0.091259732691822304,-0.30673922737799614,-0.39167942036889147
pmks_positive_0051,-0.094669054941702857,-0.31101370736112516,-0.38284220536961633
pmks_positive_0052,-0.098125016870386883,-0.31519018416050998,-0.37392180936837588
pmks_positive_0053,-0.10162653176677505,-0.31926775827532689,-0.36492159330297558
pmks_positive_0054,-0.10517250319481874,-0.32324556691655426,-0.35584484812554451
pmks_positive_0055,-0.10876182539442736,-0.32712278322546018,-0.34669479321016966
pmks_positive_0056,-0.11239338367366436,-0.33089861547603688,-0.33747457503537331
pmks_positive_0057,-0.11606605479206245,-0.33457230626438494,-0.32818726613618593
pmks_positive_0058,-0.11977870733493168,-0.33814313168799259,-0.31883586432000044
pmks_positive_0059,-0.12353020207857002,-0.34161040051778702,-0.3094232921398849
pmks_positive_0060,-0.12731939234630518,-0.34497345336576241,-0.29995239661858786
pmks_positive_0061,-0.13114512435533943,-0.34823166185091126,-0.29042594921607412
pmks_positive_0062,-0.13500623755438967,-0.35138442776610967,-0.28084664603309439
pmks_positive_0063,-0.13890156495215011,-0.35443118224851311,-0.27121710824300599
pmks_positive_0064,-0.14282993343662875,-0.35737138495594328,-0.26153988274382517
pmks_positive_0065,-0.14679016408543655,-0.36020452325165059,-0.2518174430223073
pmks_positive_0066,-0.15078107246713657,-0.36293011139974324,-0.24205219022169175
pmks_positive_0067,-0.15480146893378022,-0.36554768977348817,-0.23224645440466041
pmks_positive_0068,-0.15885015890478682,-0.36805682407859069,-0.22240249600297585
pmks_positive_0069,-0.16292594314234154,-0.37045710459346359,-0.21252250744523918
pmks_positive_0070,-0.16702761801851151,-0.37274814542840795,-0.20260861495420077
pmks_positive_0071,-0.17115397577429681,-0.37492958380552732,-0.19266288050508304
pmks_positive_0072,-0.17530380477085528,-0.37700107936110661,-0.18268730393642335
pmks_positive_0073,-0.17947588973316053,-0.3789623134720933,-0.17268382520501718
pmks_positive_0074,-0.18366901198636443,-0.38081298860822216,-0.16265432677662597
pmks_positive_0075,-0.18788194968516025,-0.38255282771124222,-0.15260063614422506
pmks_positive_0076,-0.19211347803644552,-0.38418157360260219,-0.14252452846567845
pmks_positive_0077,-0.19636236951561115,-0.38569898842087413,-0.13242772931285593
pmks_positive_0078,-0.2006273940767942,-0.38710485309009762,-0.12231191752434148
pmks_positive_0079,-0.20490731935743423,-0.38839896682014852,-0.11217872815401941
pmks_positive_0080,-0.20920091087749837,-0.38958114664014559,-0.10202975550796399
pmks_positive_0081,-0.21350693223374195,-0.39065122696583032,-0.091866556262198626
pmks_positive_0082,-0.21782414528938654,-0.39160905920177308,-0.081690652654027265
pmks_positive_0083,-0.22215131035960223,-0.39245451137917498,-0.071503535739774207
pmks_positive_0084,-0.22648718639319343,-0.39318746782996183,-0.061306668711893095
pmks_positive_0085,-0.23083053115088825,-0.39380782889778659,-0.051101490268526423
pmks_positive_0086,-0.23518010138064582,-0.39431551068648252,-0.040889418028706277
pmks_positive_0087,-0.239534652990395,-0.39471044484642992,-0.030671851986482576
pmks_positive_0088,-0.24389294121862859,-0.39499257839923552,-0.020450177997355243
pmks_positive_0089,-0.24825372080327179,-0.39516187360103955,-0.010225771290458728
pmks_positive_0090,-0.25261574614926019,-0.39521830784470119,-7.6487704893789201E-15
pmks_positive_0091,-0.2569777714952477,-0.39516187360103971,0.010225771290443521
pmks_positive_0092,-0.26133855107989135,-0.39499257839923574,0.020450177997339967
pmks_positive_0093,-0.26569683930812493,-0.39471044484643042,0.030671851986467571
pmks_positive_0094,-0.27005139091787411,-0.39431551068648318,0.040889418028691282
pmks_positive_0095,-0.27440096114763168,-0.39380782889778748,0.0511014902685114
pmks_positive_0096,-0.27874430590532651,-0.39318746782996283,0.061306668711878058
pmks_positive_0097,-0.28308018193891771,-0.39245451137917614,0.07150353573975915
pmks_positive_0098,-0.28740734700913384,-0.39160905920177452,0.081690652654012111
pmks_positive_0099,-0.29172456006477843,-0.39065122696583177,0.091866556262183444
pmks_positive_0100,-0.29603058142102201,-0.38958114664014715,0.1020297555079491
pmks_positive_0101,-0.30032417294108571,-0.38839896682015035,0.11217872815400455
pmks_positive_0102,-0.30460409822172618,-0.38710485309009973,0.12231191752432656
pmks_positive_0103,-0.30886912278290923,-0.38569898842087619,0.13242772931284094
pmks_positive_0104,-0.31311801426207486,-0.38418157360260452,0.14252452846566349
pmks_positive_0105,-0.31734954261335968,-0.38255282771124471,0.1526006361442101
pmks_positive_0106,-0.32156248031215595,-0.38081298860822499,0.16265432677661093
pmks_positive_0107,-0.32575560256535985,-0.37896231347209614,0.17268382520500239
pmks_positive_0108,-0.3299276875276651,-0.3770010793611096,0.18268730393640847
pmks_positive_0109,-0.33407751652422357,-0.37492958380553026,0.19266288050506816
pmks_positive_0110,-0.33820387428000886,-0.37274814542841123,0.20260861495418608
pmks_positive_0111,-0.34230554915617928,-0.3704571045934672,0.21252250744522444
pmks_positive_0112,-0.346381333393734,-0.36805682407859441,0.22240249600296103
pmks_positive_0113,-0.35043002336474016,-0.36554768977349217,0.23224645440464559
pmks_positive_0114,-0.35445041983138426,-0.36293011139974724,0.24205219022167687
pmks_positive_0115,-0.35844132821308383,-0.36020452325165481,0.2518174430222927
pmks_positive_0116,-0.36240155886189163,-0.35737138495594772,0.26153988274381079
pmks_positive_0117,-0.36632992734637027,-0.35443118224851761,0.2712171082429915
pmks_positive_0118,-0.37022525474413115,-0.35138442776611428,0.28084664603308018
pmks_positive_0119,-0.3740863679431814,-0.34823166185091609,0.29042594921606013
pmks_positive_0120,-0.37791209995221609,-0.34497345336576735,0.29995239661857381
pmks_positive_0121,-0.38170129021995125,-0.34161040051779212,0.3094232921398708
pmks_positive_0122,-0.38545278496358959,-0.33814313168799787,0.31883586431998645
pmks_positive_0123,-0.38916543750645882,-0.33457230626439027,0.32818726613617216
pmks_positive_0124,-0.39283810862485646,-0.33089861547604238,0.3374745750353596
pmks_positive_0125,-0.39646966690409391,-0.32712278322546584,0.34669479321015617
pmks_positive_0126,-0.40005898910370297,-0.32324556691655992,0.35584484812553102
pmks_positive_0127,-0.40360496053174622,-0.31926775827533271,0.36492159330296231
pmks_positive_0128,-0.40710647542813483,-0.31519018416051608,0.37392180936836272
pmks_positive_0129,-0.41056243735681885,-0.31101370736113143,0.38284220536960323
pmks_positive_0130,-0.41397175960669896,-0.3067392273780023,0.39167942036887854
pmks_positive_0131,-0.41733336560106205,-0.30236768118615204,0.40043002531454119
pmks_positive_0132,-0.42064618931530751,-0.29790004397497905,0.40909052519633216
pmks_positive_0133,-0.42390917570271247,-0.29333732986306754,0.41765736148719484
pmks_positive_0134,-0.42712128112792458,-0.28868059258445017,0.42612691487404197
pmks_positive_0135,-0.43028147380786619,-0.28393092614313176,0.43449550827896777
pmks_positive_0136,-0.43338873425966495,-0.27908946543265661,0.4427594101714708
pmks_positive_0137,-0.43644205575521999,-0.27415738681751556,0.45091483817125649
pmks_positive_0138,-0.43944044478195643,-0.26913590867318749,0.45895796294013785
pmks_positive_0139,-0.44238292150930336,-0.26402629188164117,0.4668849123604572
pmks_positive_0140,-0.445268520260373,-0.25882984027915285,0.47469177599629725
pmks_positive_0141,-0.44809628998831297,-0.25354790105334291,0.48237460983255187
pmks_positive_0142,-0.45086529475674064,-0.24818186508640216,0.4899294412856991
pmks_positive_0143,-0.45357461422365741,-0.24273316724154295,0.49735227447883679
pmks_positive_0144,-0.45622334412820109,-0.23720328658980996,0.50463909577225352
pmks_positive_0145,-0.45881059677955394,-0.23159374657448123,0.51178587953947663
pmks_positive_0146,-0.46133550154731262,-0.22590611511041384,0.51878859417741274
pmks_positive_0147,-0.4637972053525834,-0.2201420046158182,0.52564320833784772
pmks_positive_0148,-0.46619487315904484,-0.21430307197409454,0.5323456973662376
pmks_positive_0149,-0.46852768846319082,-0.20839101842352689,0.53889204993239559
pmks_positive_0150,-0.4707948537829485,-0.2024075893728082,0.54527827483636815
pmks_positive_0151,-0.47299559114384815,-0.19635457414056137,0.55150040797152045
pmks_positive_0152,-0.47512914256187999,-0.19023380561722347,0.55755451942561152
pmks_positive_0153,-0.47719477052219617,-0.18404715984788506,0.5634367206994576
pmks_positive_0154,-0.47919175845275808,-0.17779655553490284,0.56914317202165254
pmks_positive_0155,-0.48111941119204849,-0.17148395345934783,0.57467008973676159
pmks_positive_0156,-0.48297705544994995,-0.1651113558206099,0.58001375374343189
pmks_positive_0157,-0.48476404026087438,-0.15868080549373972,0.58517051495798311
pmks_positive_0158,-0.48647973742824835,-0.15219438520438683,0.59013680277825953
pmks_positive_0159,-0.48812354195942964,-0.14565421662147202,0.59490913252185074
pmks_positive_0160,-0.4896948724901633,-0.13906245936802292,0.59948411281224523
pmks_positive_0161,-0.49119317169766719,-0.13242130995089593,0.60385845288605211
pmks_positive_0162,-0.49261790670146421,-0.12573300061040493,0.60802896979413179
