sample_id,fx,fy
matlab_0000,152.23576170524279,-150.95805411779756
matlab_0001,510.09280912766161,-257.8000813135157
matlab_0002,1135.1700059666584,-496.4585725182327
matlab_0003,2698.0376828320709,-1148.9068324476671
matlab_0004,9272.2825343430159,-3963.7276411365815
matlab_0005,169077.49904602245,-72868.697721976831
matlab_0006,169077.49904602245,-72868.697721976831
matlab_0007,9272.2825343430159,-3963.7276411365815
matlab_0008,2698.0376828320709,-1148.9068324476671
matlab_0009,1135.1700059666584,-496.4585725182327
matlab_0010,510.09280912766161,-257.8000813135157
matlab_0011,152.23576170524228,-150.95805411779747
matlab_0012,-150.27069652250191,-97.766996083781834
matlab_0013,-546.9345473206215,-64.067918583653253
matlab_0014,-1341.6788938245588,-5.1047005245840431
matlab_0015,-3900.8767004888196,316.11313228843647
matlab_0016,-27157.772171632056,5588.0628910527284
matlab_0017,-27157.772171632056,5588.0628910527284
matlab_0018,-3900.8767004888196,316.11313228843647
matlab_0019,-1341.6788938245588,-5.1047005245840431
matlab_0020,-546.9345473206215,-64.067918583653253
matlab_0021,-150.27069652250191,-97.766996083781834
matlab_0022,152.23576170524228,-150.95805411779747
