sample_id,fx,fy
matlab_0000,-556.91719204801268,-367.06871193407915
matlab_0001,-1045.5378410889796,-284.08260003321482
matlab_0002,-1900.2236578354516,-169.38406102046727
matlab_0003,-3950.3122761419513,141.07173101572772
matlab_0004,-12037.398378059183,1782.2904146268863
matlab_0005,-190130.92147806552,55868.634393624146
matlab_0006,-190130.92147806552,55868.634393624146
matlab_0007,-12037.398378059183,1782.2904146268863
matlab_0008,-3950.3122761419513,141.07173101572772
matlab_0009,-1900.2236578354516,-169.38406102046727
matlab_0010,-1045.5378410889796,-284.08260003321482
matlab_0011,-556.91719204801257,-367.0687119340796
matlab_0012,-171.51169541661162,-473.71430332340282
matlab_0013,279.48384772837579,-663.20371237625443
matlab_0014,1103.0391996212695,-1091.0394786396814
matlab_0015,3635.5383263094091,-2474.8863492430874
matlab_0016,26391.842679544992,-14336.298313441212
matlab_0017,26391.842679544992,-14336.298313441212
matlab_0018,3635.5383263094091,-2474.8863492430874
matlab_0019,1103.0391996212695,-1091.0394786396814
matlab_0020,279.48384772837579,-663.20371237625443
matlab_0021,-171.51169541661162,-473.71430332340282
matlab_0022,-556.91719204801257,-367.0687119340796
