sample_id,fx,fy
matlab_0000,554.1208041343707,357.96674343085232
matlab_0001,1042.9007303324593,274.93321410545218
matlab_0002,1897.7466275255354,160.19004465975456
matlab_0003,3947.9960808060673,-150.3075772229426
matlab_0004,12035.243723232868,-1791.5652773523791
matlab_0005,190128.92902007751,-55877.945447654878
matlab_0006,190128.92902007751,-55877.945447654878
matlab_0007,12035.243723232868,-1791.5652773523791
matlab_0008,3947.9960808060673,-150.3075772229426
matlab_0009,1897.7466275255354,160.19004465975456
matlab_0010,1042.9007303324593,274.93321410545218
matlab_0011,554.12080413437059,357.96674343085272
matlab_0012,168.55688215269583,464.66252479249056
matlab_0013,-282.59618627782129,654.20488107708388
matlab_0014,-1106.3081154077727,1082.09633570344
matlab_0015,-3638.9628235895548,2466.0016188377472
matlab_0016,-26395.421715183733,14327.474701941725
matlab_0017,-26395.421715183733,14327.474701941725
matlab_0018,-3638.9628235895548,2466.0016188377472
matlab_0019,-1106.3081154077727,1082.09633570344
matlab_0020,-282.59618627782129,654.20488107708388
matlab_0021,168.55688215269583,464.66252479249056
matlab_0022,554.12080413437059,357.96674343085272
