sample_id,fx,fy
matlab_0000,91.864246665370786,-303.77417996677821
matlab_0001,474.86526189962535,-420.96467077402531
matlab_0002,1128.5532379771441,-671.32251470834763
matlab_0003,2729.7387763094912,-1339.4778755883249
matlab_0004,9370.600208883212,-4181.9549464822985
matlab_0005,169423.65525548963,-73192.422853770608
matlab_0006,169423.65525548963,-73192.422853770608
matlab_0007,9370.600208883212,-4181.9549464822985
matlab_0008,2729.7387763094912,-1339.4778755883249
matlab_0009,1128.5532379771441,-671.32251470834763
matlab_0010,474.86526189962535,-420.96467077402531
matlab_0011,91.864246665370274,-303.77417996677815
matlab_0012,-235.87755247554483,-240.06083002029993
matlab_0013,-661.38583292980854,-194.1349704329258
matlab_0014,-1494.4884838330217,-118.63894036107786
matlab_0015,-4117.3086009571007,230.39217459949217
matlab_0016,-27546.716084163178,5578.4992583210496
matlab_0017,-27546.716084163178,5578.4992583210496
matlab_0018,-4117.3086009571007,230.39217459949217
matlab_0019,-1494.4884838330217,-118.63894036107786
matlab_0020,-661.38583292980854,-194.1349704329258
matlab_0021,-235.87755247554483,-240.06083002029993
matlab_0022,91.864246665370274,-303.77417996677815
