sample_id,x,y,vx,vy,ax,ay
matlab_0000,-3.7400000000000002,-2.4100000000000001,0,0,0,0
matlab_0001,-3.7400000000000002,-2.4100000000000001,0,0,0,0
matlab_0002,-3.7400000000000002,-2.4100000000000001,0,0,0,0
matlab_0003,-3.7400000000000002,-2.4100000000000001,0,0,0,0
matlab_0004,-3.7400000000000002,-2.4100000000000001,0,0,0,0
matlab_0005,-3.7400000000000002,-2.4100000000000001,0,0,0,0
matlab_0006,-3.7400000000000002,-2.4100000000000001,0,0,0,0
matlab_0007,-3.7400000000000002,-2.4100000000000001,0,0,0,0
matlab_0008,-3.7400000000000002,-2.4100000000000001,0,0,0,0
matlab_0009,-3.7400000000000002,-2.4100000000000001,0,0,0,0
matlab_0010,-3.7400000000000002,-2.4100000000000001,0,0,0,0
matlab_0011,-3.7400000000000002,-2.4100000000000001,0,0,0,0
matlab_0012,-3.7400000000000002,-2.4100000000000001,0,0,0,0
matlab_0013,-3.7400000000000002,-2.4100000000000001,0,0,0,0
matlab_0014,-3.7400000000000002,-2.4100000000000001,0,0,0,0
matlab_0015,-3.7400000000000002,-2.4100000000000001,0,0,0,0
matlab_0016,-3.7400000000000002,-2.4100000000000001,0,0,0,0
matlab_0017,-3.7400000000000002,-2.4100000000000001,0,0,0,0
matlab_0018,-3.7400000000000002,-2.4100000000000001,0,0,0,0
matlab_0019,-3.7400000000000002,-2.4100000000000001,0,0,0,0
matlab_0020,-3.7400000000000002,-2.4100000000000001,0,0,0,0
matlab_0021,-3.7400000000000002,-2.4100000000000001,0,0,0,0
matlab_0022,-3.7400000000000002,-2.4100000000000001,0,0,0,0
