sample_id,x,y,vx,vy,ax,ay
matlab_0000,7.3200000000000003,-3.5099999999999998,0,0,0,0
matlab_0001,7.3200000000000003,-3.5099999999999998,0,0,0,0
matlab_0002,7.3200000000000003,-3.5099999999999998,0,0,0,0
matlab_0003,7.3200000000000003,-3.5099999999999998,0,0,0,0
matlab_0004,7.3200000000000003,-3.5099999999999998,0,0,0,0
matlab_0005,7.3200000000000003,-3.5099999999999998,0,0,0,0
matlab_0006,7.3200000000000003,-3.5099999999999998,0,0,0,0
matlab_0007,7.3200000000000003,-3.5099999999999998,0,0,0,0
matlab_0008,7.3200000000000003,-3.5099999999999998,0,0,0,0
matlab_0009,7.3200000000000003,-3.5099999999999998,0,0,0,0
matlab_0010,7.3200000000000003,-3.5099999999999998,0,0,0,0
matlab_0011,7.3200000000000003,-3.5099999999999998,0,0,0,0
matlab_0012,7.3200000000000003,-3.5099999999999998,0,0,0,0
matlab_0013,7.3200000000000003,-3.5099999999999998,0,0,0,0
matlab_0014,7.3200000000000003,-3.5099999999999998,0,0,0,0
matlab_0015,7.3200000000000003,-3.5099999999999998,0,0,0,0
matlab_0016,7.3200000000000003,-3.5099999999999998,0,0,0,0
matlab_0017,7.3200000000000003,-3.5099999999999998,0,0,0,0
matlab_0018,7.3200000000000003,-3.5099999999999998,0,0,0,0
matlab_0019,7.3200000000000003,-3.5099999999999998,0,0,0,0
matlab_0020,7.3200000000000003,-3.5099999999999998,0,0,0,0
matlab_0021,7.3200000000000003,-3.5099999999999998,0,0,0,0
matlab_0022,7.3200000000000003,-3.5099999999999998,0,0,0,0
