sample_id,theta_delta_rad,omega_rad_s,alpha_rad_s2
matlab_0000,0,1.0471975511965976,0
matlab_0001,0.01745329251994332,1.0471975511965976,0
matlab_0002,0.03490658503988664,1.0471975511965976,0
matlab_0003,0.052359877559829959,1.0471975511965976,0
matlab_0004,0.069813170079773279,1.0471975511965976,0
matlab_0005,0.087266462599716599,1.0471975511965976,0
matlab_0006,0.087266462599716599,-1.0471975511965976,0
matlab_0007,0.069813170079773279,-1.0471975511965976,0
matlab_0008,0.052359877559829959,-1.0471975511965976,0
matlab_0009,0.03490658503988664,-1.0471975511965976,0
matlab_0010,0.01745329251994332,-1.0471975511965976,0
matlab_0011,0,-1.0471975511965976,0
matlab_0012,-0.01745329251994332,-1.0471975511965976,0
matlab_0013,-0.03490658503988664,-1.0471975511965976,0
matlab_0014,-0.052359877559829959,-1.0471975511965976,0
matlab_0015,-0.069813170079773057,-1.0471975511965976,0
matlab_0016,-0.087266462599716599,-1.0471975511965976,0
matlab_0017,-0.087266462599716599,1.0471975511965976,0
matlab_0018,-0.069813170079773057,1.0471975511965976,0
matlab_0019,-0.052359877559829959,1.0471975511965976,0
matlab_0020,-0.03490658503988664,1.0471975511965976,0
matlab_0021,-0.01745329251994332,1.0471975511965976,0
matlab_0022,0,1.0471975511965976,0
