sample_id,theta_delta_rad,omega_rad_s,alpha_rad_s2
matlab_0000,0,-1.7033236397490774,-8.9345930513179646
matlab_0001,-0.029768662391643927,-1.8784087831172154,-12.373723039264029
matlab_0002,-0.063035898641048763,-2.1307392741468894,-18.58469536503971
matlab_0003,-0.10162283529496489,-2.5366063672549637,-32.122765941897605
matlab_0004,-0.14971277773593561,-3.3485252704103035,-75.203884268436454
matlab_0005,-0.22418057282075682,-6.7158249072934861,-608.71861412139856
matlab_0006,-0.22418057282075682,6.7158249072934861,-608.71861412139856
matlab_0007,-0.14971277773593561,3.3485252704103035,-75.203884268436454
matlab_0008,-0.10162283529496489,2.5366063672549637,-32.122765941897605
matlab_0009,-0.063035898641048763,2.1307392741468894,-18.58469536503971
matlab_0010,-0.029768662391643927,1.8784087831172154,-12.373723039264029
matlab_0011,-4.0245584642661925e-16,1.7033236397490774,-8.9345930513179646
matlab_0012,0.027257463853346195,1.5734738617496147,-6.8006979723979741
matlab_0013,0.052609861882954863,1.4727720903227834,-5.3712406400567128
matlab_0014,0.076460725631473395,1.3921356244482028,-4.3593463620528343
matlab_0015,0.099094593218048768,1.32599896573027,-3.6125616581366389
matlab_0016,0.1207209023303832,1.27073732840849,-3.0431799022711221
matlab_0017,0.1207209023303832,-1.27073732840849,-3.0431799022711221
matlab_0018,0.099094593218048768,-1.32599896573027,-3.6125616581366389
matlab_0019,0.076460725631473395,-1.3921356244482028,-4.3593463620528343
matlab_0020,0.052609861882954863,-1.4727720903227834,-5.3712406400567128
matlab_0021,0.027257463853346195,-1.5734738617496147,-6.8006979723979741
matlab_0022,-4.0245584642661925e-16,-1.7033236397490774,-8.9345930513179646
