sample_id,theta_delta_rad,omega_rad_s,alpha_rad_s2
matlab_0000,0,1.0899216286934674,6.269419366229072
matlab_0001,0.019122683407932772,1.2107138317623585,8.4117773405499303
matlab_0002,0.040620308872587607,1.3796492922629533,12.283891142842601
matlab_0003,0.06562819192186975,1.6443098898791342,20.723894323888342
matlab_0004,0.096753981545917966,2.1620183634874954,47.562215375429133
matlab_0005,0.1445058736231597,4.2701125612741793,379.4318978304853
matlab_0006,0.1445058736231597,-4.2701125612741793,379.4318978304853
matlab_0007,0.096753981545917966,-2.1620183634874954,47.562215375429133
matlab_0008,0.06562819192186975,-1.6443098898791342,20.723894323888342
matlab_0009,0.040620308872587607,-1.3796492922629533,12.283891142842601
matlab_0010,0.019122683407932772,-1.2107138317623585,8.4117773405499303
matlab_0011,0,-1.0899216286934674,6.269419366229072
matlab_0012,-0.017362832915037707,-0.99728857291010908,4.9423669235939087
matlab_0013,-0.033342792738758842,-0.92276163336527928,4.0557409531146629
matlab_0014,-0.048190198462521039,-0.86065986294300423,3.4304103869645655
matlab_0015,-0.062080912942959365,-0.80749925737494543,2.9711095560367529
matlab_0016,-0.075143768949720524,-0.76100895054219786,2.6229899452313918
matlab_0017,-0.075143768949720524,0.76100895054219786,2.6229899452313918
matlab_0018,-0.062080912942959365,0.80749925737494543,2.9711095560367529
matlab_0019,-0.048190198462521039,0.86065986294300423,3.4304103869645655
matlab_0020,-0.033342792738758842,0.92276163336527928,4.0557409531146629
matlab_0021,-0.017362832915037707,0.99728857291010908,4.9423669235939087
matlab_0022,0,1.0899216286934674,6.269419366229072
