sample_id,theta_delta_rad,omega_rad_s,alpha_rad_s2
matlab_0000,0,2.522416751645328,3.1258606391772923
matlab_0001,0.042710101471136547,2.6177011864721664,8.5225725622643633
matlab_0002,0.087843399966644781,2.8201201181694024,16.452309185984269
matlab_0003,0.13771396675653655,3.207297865345494,32.194158532553146
matlab_0004,0.19716888504209654,4.0559780825264875,80.669748060158071
matlab_0005,0.28517430199725735,7.7694271980902627,679.05497804134745
matlab_0006,0.28517430199725735,-7.7694271980902627,679.05497804134745
matlab_0007,0.19716888504209654,-4.0559780825264875,80.669748060158071
matlab_0008,0.13771396675653655,-3.207297865345494,32.194158532553146
matlab_0009,0.087843399966644781,-2.8201201181694024,16.452309185984269
matlab_0010,0.042710101471136547,-2.6177011864721664,8.5225725622643633
matlab_0011,8.8817841970012523e-16,-2.522416751645328,3.1258606391772941
matlab_0012,-0.041831091986345548,-2.5109044802876626,-1.7916928836758257
matlab_0013,-0.084185814126333136,-2.5884703857816223,-7.8876088180575143
matlab_0014,-0.12882524484378097,-2.7968338240261699,-18.318783544841036
matlab_0015,-0.17888269371002477,-3.2816105528259003,-44.928465131729475
matlab_0016,-0.24350544377503347,-4.864503337438066,-205.11349213131788
matlab_0017,-0.24350544377503347,4.864503337438066,-205.11349213131788
matlab_0018,-0.17888269371002477,3.2816105528259003,-44.928465131729475
matlab_0019,-0.12882524484378097,2.7968338240261699,-18.318783544841036
matlab_0020,-0.084185814126333136,2.5884703857816223,-7.8876088180575143
matlab_0021,-0.041831091986345548,2.5109044802876626,-1.7916928836758257
matlab_0022,8.8817841970012523e-16,2.522416751645328,3.1258606391772941
