sample_id,theta_delta_rad,omega_rad_s,alpha_rad_s2
matlab_0000,0,-3.0619020453814771,1.6505485244949112
matlab_0001,-0.051067916372702693,-3.0825759217983077,-4.2591527930989033
matlab_0002,-0.10336247554813216,-3.2145133797048127,-12.153702196687664
matlab_0003,-0.15917973220885928,-3.52384822717781,-26.910775523926226
matlab_0004,-0.22304605051737103,-4.2570883923202683,-70.946052978080971
matlab_0005,-0.31210889819821663,-7.5618255916313828,-605.72347517082983
matlab_0006,-0.31210889819821663,7.5618255916313828,-605.72347517082983
matlab_0007,-0.22304605051737103,4.2570883923202683,-70.946052978080971
matlab_0008,-0.15917973220885928,3.52384822717781,-26.910775523926226
matlab_0009,-0.10336247554813216,3.2145133797048127,-12.153702196687664
matlab_0010,-0.051067916372702693,3.0825759217983077,-4.2591527930989033
matlab_0011,-8.8817841970012523e-16,3.0619020453814771,1.6505485244949063
matlab_0012,0.051529284080952142,3.1382857266783688,7.6846271003740032
matlab_0013,0.105242241297551,3.3300046767595708,15.933931919777704
matlab_0014,0.16352781107884407,3.7053696553692892,30.948341763388669
matlab_0015,0.230908520929206,4.4864055645175052,70.419910980164246
matlab_0016,0.32098766623099012,6.9104367864630705,310.89373602238271
matlab_0017,0.32098766623099012,-6.9104367864630705,310.89373602238271
matlab_0018,0.230908520929206,-4.4864055645175052,70.419910980164246
matlab_0019,0.16352781107884407,-3.7053696553692892,30.948341763388669
matlab_0020,0.105242241297551,-3.3300046767595708,15.933931919777704
matlab_0021,0.051529284080952142,-3.1382857266783688,7.6846271003740032
matlab_0022,-8.8817841970012523e-16,-3.0619020453814771,1.6505485244949063
