sample_id,x,y,vx,vy,ax,ay
pmks_positive_0000,-3.0872621710120969,-0.80076622996900837,-1.6851856632793234,0.68354545608951589,-0.71580712774850253,-1.7647222998977217
pmks_positive_0001,-3.1154465879522415,-0.78961947817819578,-1.6968585144584585,0.65403080368789257,-0.68489945602910374,-1.7769460810679942
pmks_positive_0002,-3.1438212499118805,-0.77896630999130867,-1.7080144860962523,0.62431692716772735,-0.65378315730062864,-1.7886285872483105
pmks_positive_0003,-3.1723775136941099,-0.76880997046657651,-1.718650179975673,0.59441287766365258,-0.62246770988909972,-1.7997662598341166
pmks_positive_0004,-3.20110668078435,-0.75915355332340528,-1.7287623563613348,0.56432776423883524,-0.59096265278315918,-1.8103557061824496
pmks_positive_0005,-3.23,-0.75,-1.7383479349863522,0.53407075111026503,-0.55927758272839712,-1.8203937006453703
pmks_positive_0006,-3.259048670156131,-0.74135209875737607,-1.747403995990618,0.50365105485724693,-0.5274221513040922,-1.8298771855525244
pmks_positive_0007,-3.2882438427464127,-0.73321248383002557,-1.7559277808102227,0.47307794161394195,-0.49540606198324699,-1.8388032721425414
pmks_positive_0008,-3.3175766246384542,-0.72558363462350606,-1.7639166930177381,0.44236072424681222,-0.46323906717681512,-1.8471692414429761
pmks_positive_0009,-3.3470380807827378,-0.71846787495918774,-1.7713682991131157,0.41150875951783245,-0.43093096526302371,-1.854972545098537
pmks_positive_0010,-3.3766192369343226,-0.71186737236639686,-1.7782803292649532,0.38053144523432858,-0.39849159760269109,-1.8622108061473384
pmks_negative_0000,-3.3766192369343226,-0.71186737236639686,1.7782803292649532,-0.38053144523432858,-0.39849159760269109,-1.8622108061473384
pmks_negative_0001,-3.3470380807827378,-0.71846787495918774,1.7713682991131157,-0.41150875951783245,-0.43093096526302371,-1.854972545098537
pmks_negative_0002,-3.3175766246384542,-0.72558363462350606,1.7639166930177381,-0.44236072424681222,-0.46323906717681512,-1.8471692414429761
pmks_negative_0003,-3.2882438427464127,-0.73321248383002557,1.7559277808102227,-0.47307794161394195,-0.49540606198324699,-1.8388032721425414
pmks_negative_0004,-3.259048670156131,-0.74135209875737607,1.747403995990618,-0.50365105485724693,-0.5274221513040922,-1.8298771855525244
pmks_negative_0005,-3.23,-0.75,1.7383479349863522,-0.53407075111026503,-0.55927758272839712,-1.8203937006453703
pmks_negative_0006,-3.20110668078435,-0.75915355332340528,1.7287623563613348,-0.56432776423883524,-0.59096265278315918,-1.8103557061824496
pmks_negative_0007,-3.1723775136941099,-0.76880997046657651,1.718650179975673,-0.59441287766365258,-0.62246770988909972,-1.7997662598341166
pmks_negative_0008,-3.1438212499118805,-0.77896630999130867,1.7080144860962523,-0.62431692716772735,-0.65378315730062864,-1.7886285872483105
pmks_negative_0009,-3.1154465879522415,-0.78961947817819578,1.6968585144584585,-0.65403080368789257,-0.68489945602910374,-1.7769460810679942
pmks_negative_0010,-3.0872621710120969,-0.80076622996900837,1.6851856632793234,-0.68354545608951589,-0.71580712774850253,-1.7647222998977217
