sample_id,x,y,vx,vy,ax,ay
pmks_positive_0000,-3.7400000000000002,-2.4100000000000001,0,0,0,0
pmks_positive_0001,-3.7400000000000002,-2.4100000000000001,0,0,0,0
pmks_positive_0002,-3.7400000000000002,-2.4100000000000001,0,0,0,0
pmks_positive_0003,-3.7400000000000002,-2.4100000000000001,0,0,0,0
pmks_positive_0004,-3.7400000000000002,-2.4100000000000001,0,0,0,0
pmks_positive_0005,-3.7400000000000002,-2.4100000000000001,0,0,0,0
pmks_positive_0006,-3.7400000000000002,-2.4100000000000001,0,0,0,0
pmks_positive_0007,-3.7400000000000002,-2.4100000000000001,0,0,0,0
pmks_positive_0008,-3.7400000000000002,-2.4100000000000001,0,0,0,0
pmks_positive_0009,-3.7400000000000002,-2.4100000000000001,0,0,0,0
pmks_positive_0010,-3.7400000000000002,-2.4100000000000001,0,0,0,0
pmks_negative_0000,-3.7400000000000002,-2.4100000000000001,-0,-0,0,0
pmks_negative_0001,-3.7400000000000002,-2.4100000000000001,-0,-0,0,0
pmks_negative_0002,-3.7400000000000002,-2.4100000000000001,-0,-0,0,0
pmks_negative_0003,-3.7400000000000002,-2.4100000000000001,-0,-0,0,0
pmks_negative_0004,-3.7400000000000002,-2.4100000000000001,-0,-0,0,0
pmks_negative_0005,-3.7400000000000002,-2.4100000000000001,-0,-0,0,0
pmks_negative_0006,-3.7400000000000002,-2.4100000000000001,-0,-0,0,0
pmks_negative_0007,-3.7400000000000002,-2.4100000000000001,-0,-0,0,0
pmks_negative_0008,-3.7400000000000002,-2.4100000000000001,-0,-0,0,0
pmks_negative_0009,-3.7400000000000002,-2.4100000000000001,-0,-0,0,0
pmks_negative_0010,-3.7400000000000002,-2.4100000000000001,-0,-0,0,0
