sample_id,x,y,vx,vy,ax,ay
pmks_positive_0000,7.3200000000000003,-3.5099999999999998,0,0,0,0
pmks_positive_0001,7.3200000000000003,-3.5099999999999998,0,0,0,0
pmks_positive_0002,7.3200000000000003,-3.5099999999999998,0,0,0,0
pmks_positive_0003,7.3200000000000003,-3.5099999999999998,0,0,0,0
pmks_positive_0004,7.3200000000000003,-3.5099999999999998,0,0,0,0
pmks_positive_0005,7.3200000000000003,-3.5099999999999998,0,0,0,0
pmks_positive_0006,7.3200000000000003,-3.5099999999999998,0,0,0,0
pmks_positive_0007,7.3200000000000003,-3.5099999999999998,0,0,0,0
pmks_positive_0008,7.3200000000000003,-3.5099999999999998,0,0,0,0
pmks_positive_0009,7.3200000000000003,-3.5099999999999998,0,0,0,0
pmks_positive_0010,7.3200000000000003,-3.5099999999999998,0,0,0,0
pmks_negative_0000,7.3200000000000003,-3.5099999999999998,0,0,0,0
pmks_negative_0001,7.3200000000000003,-3.5099999999999998,0,0,0,0
pmks_negative_0002,7.3200000000000003,-3.5099999999999998,0,0,0,0
pmks_negative_0003,7.3200000000000003,-3.5099999999999998,0,0,0,0
pmks_negative_0004,7.3200000000000003,-3.5099999999999998,0,0,0,0
pmks_negative_0005,7.3200000000000003,-3.5099999999999998,0,0,0,0
pmks_negative_0006,7.3200000000000003,-3.5099999999999998,0,0,0,0
pmks_negative_0007,7.3200000000000003,-3.5099999999999998,0,0,0,0
pmks_negative_0008,7.3200000000000003,-3.5099999999999998,0,0,0,0
pmks_negative_0009,7.3200000000000003,-3.5099999999999998,0,0,0,0
pmks_negative_0010,7.3200000000000003,-3.5099999999999998,0,0,0,0
