sample_id,theta_delta_rad,omega_rad_s,alpha_rad_s2
pmks_positive_0000,0.12072090233038336,-1.2707373284084891,-3.0431799022711159
pmks_positive_0001,0.099094593218048727,-1.3259989657302702,-3.6125616581366407
pmks_positive_0002,0.076460725631473492,-1.3921356244482026,-4.3593463620528317
pmks_positive_0003,0.052609861882954898,-1.472772090322783,-5.3712406400567101
pmks_positive_0004,0.027257463853346237,-1.5734738617496145,-6.8006979723979697
pmks_positive_0005,0,-1.703323639749077,-8.9345930513179574
pmks_positive_0006,-0.029768662391643511,-1.8784087831172127,-12.373723039263972
pmks_positive_0007,-0.063035898641047597,-2.1307392741468787,-18.584695365039419
pmks_positive_0008,-0.1016228352949642,-2.536606367254953,-32.122765941897214
pmks_positive_0009,-0.149712777735934,-3.348525270410267,-75.203884268434024
pmks_positive_0010,-0.22418057282075426,-6.7158249072932561,-608.71861412133626
pmks_negative_0000,-0.22418057282075426,6.7158249072932561,-608.71861412133626
pmks_negative_0001,-0.149712777735934,3.348525270410267,-75.203884268434024
pmks_negative_0002,-0.1016228352949642,2.536606367254953,-32.122765941897214
pmks_negative_0003,-0.063035898641047597,2.1307392741468787,-18.584695365039419
pmks_negative_0004,-0.029768662391643511,1.8784087831172127,-12.373723039263972
pmks_negative_0005,0,1.703323639749077,-8.9345930513179574
pmks_negative_0006,0.027257463853346237,1.5734738617496145,-6.8006979723979697
pmks_negative_0007,0.052609861882954898,1.472772090322783,-5.3712406400567101
pmks_negative_0008,0.076460725631473492,1.3921356244482026,-4.3593463620528317
pmks_negative_0009,0.099094593218048727,1.3259989657302702,-3.6125616581366407
pmks_negative_0010,0.12072090233038336,1.2707373284084891,-3.0431799022711159
