sample_id,theta_delta_rad,omega_rad_s,alpha_rad_s2
pmks_positive_0000,-0.075143768949720524,0.76100895054219742,2.6229899452313878
pmks_positive_0001,-0.062080912942959365,0.80749925737494554,2.9711095560367542
pmks_positive_0002,-0.048190198462521039,0.86065986294300401,3.4304103869645637
pmks_positive_0003,-0.033342792738758842,0.92276163336527928,4.055740953114662
pmks_positive_0004,-0.017362832915037707,0.99728857291010886,4.9423669235939052
pmks_positive_0005,0,1.0899216286934672,6.2694193662290676
pmks_positive_0006,0.019122683407932328,1.2107138317623567,8.4117773405498948
pmks_positive_0007,0.040620308872587163,1.379649292262946,12.283891142842418
pmks_positive_0008,0.065628191921869306,1.6443098898791284,20.723894323888103
pmks_positive_0009,0.096753981545916634,2.1620183634874728,47.562215375427606
pmks_positive_0010,0.14450587362315837,4.2701125612740354,379.43189783044653
pmks_negative_0000,0.14450587362315837,-4.2701125612740354,379.43189783044653
pmks_negative_0001,0.096753981545916634,-2.1620183634874728,47.562215375427606
pmks_negative_0002,0.065628191921869306,-1.6443098898791284,20.723894323888103
pmks_negative_0003,0.040620308872587163,-1.379649292262946,12.283891142842418
pmks_negative_0004,0.019122683407932328,-1.2107138317623567,8.4117773405498948
pmks_negative_0005,0,-1.0899216286934672,6.2694193662290676
pmks_negative_0006,-0.017362832915037707,-0.99728857291010886,4.9423669235939052
pmks_negative_0007,-0.033342792738758842,-0.92276163336527928,4.055740953114662
pmks_negative_0008,-0.048190198462521039,-0.86065986294300401,3.4304103869645637
pmks_negative_0009,-0.062080912942959365,-0.80749925737494554,2.9711095560367542
pmks_negative_0010,-0.075143768949720524,-0.76100895054219742,2.6229899452313878
