sample_id,theta_delta_rad,omega_rad_s,alpha_rad_s2
pmks_positive_0000,-0.24350544377503655,4.8645033374382134,-205.11349213133869
pmks_positive_0001,-0.17888269371002427,3.281610552825891,-44.92846513172897
pmks_positive_0002,-0.12882524484378127,2.7968338240261756,-18.318783544841239
pmks_positive_0003,-0.084185814126333469,2.5884703857816254,-7.8876088180576112
pmks_positive_0004,-0.041831091986343966,2.5109044802876497,-1.7916928836756219
pmks_positive_0005,0,2.5224167516453284,3.1258606391772812
pmks_positive_0006,0.042710101471135437,2.6177011864721673,8.5225725622642461
pmks_positive_0007,0.087843399966643559,2.8201201181693922,16.452309185983928
pmks_positive_0008,0.13771396675653616,3.2072978653454824,32.194158532552713
pmks_positive_0009,0.19716888504209487,4.0559780825264458,80.6697480601553
pmks_positive_0010,0.28517430199725491,7.7694271980900078,679.05497804127765
pmks_negative_0000,0.28517430199725491,-7.7694271980900078,679.05497804127765
pmks_negative_0001,0.19716888504209487,-4.0559780825264458,80.6697480601553
pmks_negative_0002,0.13771396675653616,-3.2072978653454824,32.194158532552713
pmks_negative_0003,0.087843399966643559,-2.8201201181693922,16.452309185983928
pmks_negative_0004,0.042710101471135437,-2.6177011864721673,8.5225725622642461
pmks_negative_0005,0,-2.5224167516453284,3.1258606391772812
pmks_negative_0006,-0.041831091986343966,-2.5109044802876497,-1.7916928836756219
pmks_negative_0007,-0.084185814126333469,-2.5884703857816254,-7.8876088180576112
pmks_negative_0008,-0.12882524484378127,-2.7968338240261756,-18.318783544841239
pmks_negative_0009,-0.17888269371002427,-3.281610552825891,-44.92846513172897
pmks_negative_0010,-0.24350544377503655,-4.8645033374382134,-205.11349213133869
