sample_id,theta_delta_rad,omega_rad_s,alpha_rad_s2
pmks_positive_0000,0.32098766623099495,-6.9104367864632898,310.89373602241392
pmks_positive_0001,0.23090852092920533,-4.486405564517491,70.419910980163451
pmks_positive_0002,0.16352781107884479,-3.7053696553692985,30.948341763388967
pmks_positive_0003,0.105242241297552,-3.3300046767595775,15.93393191977785
pmks_positive_0004,0.051529284080950033,-3.1382857266783502,7.684627100373695
pmks_positive_0005,0,-3.0619020453814771,1.6505485244949232
pmks_positive_0006,-0.051067916372701028,-3.0825759217983131,-4.2591527930987727
pmks_positive_0007,-0.10336247554813049,-3.2145133797048024,-12.153702196687339
pmks_positive_0008,-0.1591797322088585,-3.5238482271777967,-26.910775523925825
pmks_positive_0009,-0.22304605051736937,-4.2570883923202327,-70.946052978078512
pmks_positive_0010,-0.31210889819821352,-7.5618255916311465,-605.72347517076662
pmks_negative_0000,-0.31210889819821352,7.5618255916311465,-605.72347517076662
pmks_negative_0001,-0.22304605051736937,4.2570883923202327,-70.946052978078512
pmks_negative_0002,-0.1591797322088585,3.5238482271777967,-26.910775523925825
pmks_negative_0003,-0.10336247554813049,3.2145133797048024,-12.153702196687339
pmks_negative_0004,-0.051067916372701028,3.0825759217983131,-4.2591527930987727
pmks_negative_0005,0,3.0619020453814771,1.6505485244949232
pmks_negative_0006,0.051529284080950033,3.1382857266783502,7.684627100373695
pmks_negative_0007,0.105242241297552,3.3300046767595775,15.93393191977785
pmks_negative_0008,0.16352781107884479,3.7053696553692985,30.948341763388967
pmks_negative_0009,0.23090852092920533,4.486405564517491,70.419910980163451
pmks_negative_0010,0.32098766623099495,6.9104367864632898,310.89373602241392
