sample_id,sweep_id,sweep_index,input_angle_rad,input_direction,time_s,jacobian_condition,eligibility
pmks_positive_0000,pmks_positive,0,1.1854543026091078,1,-0.083333333333333343,35.902712426932297,eligible
pmks_positive_0001,pmks_positive,1,1.2029075951290511,1,-0.06666666666666668,23.3137542396294,eligible
pmks_positive_0002,pmks_positive,2,1.2203608876489944,1,-0.05000000000000001,19.225755420350048,eligible
pmks_positive_0003,pmks_positive,3,1.2378141801689377,1,-0.03333333333333334,17.265198588230479,eligible
pmks_positive_0004,pmks_positive,4,1.2552674726888811,1,-0.01666666666666667,16.294215727785563,eligible
pmks_positive_0005,pmks_positive,5,1.2727207652088244,1,0,15.975641994396428,eligible
pmks_positive_0006,pmks_positive,6,1.2901740577287677,1,0.01666666666666667,16.244205610554925,eligible
pmks_positive_0007,pmks_positive,7,1.307627350248711,1,0.03333333333333334,17.231587734660195,eligible
pmks_positive_0008,pmks_positive,8,1.3250806427686543,1,0.05000000000000001,19.416166366913092,eligible
pmks_positive_0009,pmks_positive,9,1.3425339352885977,1,0.06666666666666668,24.518721791937718,eligible
pmks_positive_0010,pmks_positive,10,1.359987227808541,1,0.083333333333333343,47.491474956916882,eligible
pmks_negative_0000,pmks_negative,0,1.359987227808541,-1,-0.083333333333333343,47.491474956916882,eligible
pmks_negative_0001,pmks_negative,1,1.3425339352885977,-1,-0.06666666666666668,24.518721791937718,eligible
pmks_negative_0002,pmks_negative,2,1.3250806427686543,-1,-0.05000000000000001,19.416166366913092,eligible
pmks_negative_0003,pmks_negative,3,1.307627350248711,-1,-0.03333333333333334,17.231587734660195,eligible
pmks_negative_0004,pmks_negative,4,1.2901740577287677,-1,-0.01666666666666667,16.244205610554925,eligible
pmks_negative_0005,pmks_negative,5,1.2727207652088244,-1,0,15.975641994396428,eligible
pmks_negative_0006,pmks_negative,6,1.2552674726888811,-1,0.01666666666666667,16.294215727785563,eligible
pmks_negative_0007,pmks_negative,7,1.2378141801689377,-1,0.03333333333333334,17.265198588230479,eligible
pmks_negative_0008,pmks_negative,8,1.2203608876489944,-1,0.05000000000000001,19.225755420350048,eligible
pmks_negative_0009,pmks_negative,9,1.2029075951290511,-1,0.06666666666666668,23.3137542396294,eligible
pmks_negative_0010,pmks_negative,10,1.1854543026091078,-1,0.083333333333333343,35.902712426932297,eligible
